Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
04/01/2022,147980.0,20.0,RUE,1018,NICOLAS COPERNIC,59130.0,LAMBERSART,59,328,,2.0,
11/01/2022,176000.0,23.0,RUE,6447,DU NOUVEAU SIECLE,59800.0,LILLE,59,350,,2.0,
03/01/2022,144000.0,71.0,RUE,0169,ALFRED DE MUSSET,59000.0,LILLE,59,350,,2.0,
13/01/2022,86000.0,11.0,RUE,0531,DE BAPAUME,59000.0,LILLE,59,350,,1.0,
11/01/2022,27000.0,48.0,RUE,8364,DE SOLFERINO,59800.0,LILLE,59,350,,2.0,
07/01/2022,143000.0,,RUE,0250,GASTON LEROY,59310.0,ORCHIES,59,449,,2.0,
13/01/2022,53300.0,11.0,RUE,4433,DES PEIGNEURS,59200.0,TOURCOING,59,599,"48,51",2.0,
13/01/2022,89000.0,18.0,RUE,0241,LINDBERGH,59139.0,WATTIGNIES,59,648,"50,88",2.0,
14/01/2022,138000.0,1.0,ALL,0253,DU CHATEAU BLANC,59290.0,WASQUEHAL,59,646,"40,70",2.0,
10/01/2022,185000.0,23.0,RUE,0690,GAY LUSSAC,59110.0,LA MADELEINE,59,368,,2.0,
12/01/2022,229900.0,250.0,RUE,5773,MADELEINE REBERIOUX,59000.0,LILLE,59,350,"70,49",4.0,
13/01/2022,220000.0,79.0,RUE,4706,D ISLY,59000.0,LILLE,59,350,,3.0,
14/01/2022,167000.0,407.0,RUE,3220,DE PARIS,59500.0,DOUAI,59,178,,3.0,
12/01/2022,77600.0,29.0,RUE,0680,DU BOIS,59100.0,ROUBAIX,59,512,,2.0,
12/01/2022,259000.0,34.0,RUE,6895,PIERRE MAUROY,59800.0,LILLE,59,350,,2.0,
06/01/2022,494737.8,131.0,RUE,0391,D ARTOIS,59000.0,LILLE,59,350,,1.0,72.0
06/01/2022,494737.8,131.0,RUE,0391,D ARTOIS,59000.0,LILLE,59,350,,1.0,72.0
06/01/2022,494737.8,131.0,RUE,0391,D ARTOIS,59000.0,LILLE,59,350,,1.0,72.0
07/01/2022,5000.0,165.0,AV,2874,DE DUNKERQUE,59000.0,LILLE,59,350,,3.0,
19/01/2022,254500.0,4.0,RUE,0773,JEANNE DE FLANDRE,59290.0,WASQUEHAL,59,646,"65,61",3.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
